================================================================================
  cadets
================================================================================
       117x  Subject(SUBJECT_PROCESS)  --EVENT_EXECUTE-->  FileObject(FILE_OBJECT_FILE)  |  FileObject(FILE_OBJECT_FILE)
       206x  Unresolved(Unresolved)  --EVENT_READ-->  FileObject(FILE_OBJECT_FILE)  |  None
       391x  Unresolved(Unresolved)  --EVENT_READ-->  UnnamedPipeObject  |  None
       665x  Unresolved(Unresolved)  --EVENT_READ-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  None
    212800x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  None
    136242x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
     37247x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  NetFlowObject  |  None
    130002x  Subject(SUBJECT_UNIT)  --EVENT_RECVMSG-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  None
     22447x  Subject(SUBJECT_UNIT)  --EVENT_RECVMSG-->  NetFlowObject  |  None
    953169x  Unresolved(Unresolved)  --EVENT_RECVMSG-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  None
     11277x  Unresolved(Unresolved)  --EVENT_RECVMSG-->  NetFlowObject  |  None
      2376x  Subject(SUBJECT_UNIT)  --EVENT_RECVMSG-->  Unresolved(Unresolved)  |  None
         1x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  Unresolved(Unresolved)  |  None
      3195x  Unresolved(Unresolved)  --EVENT_RECVMSG-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
     57774x  Subject(SUBJECT_PROCESS)  --EVENT_SENDMSG-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  None
      5172x  Subject(SUBJECT_PROCESS)  --EVENT_SENDMSG-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
     90694x  Subject(SUBJECT_UNIT)  --EVENT_SENDMSG-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  None
      4469x  Subject(SUBJECT_UNIT)  --EVENT_SENDMSG-->  NetFlowObject  |  None
       129x  Subject(SUBJECT_PROCESS)  --EVENT_SENDMSG-->  NetFlowObject  |  None
       219x  Unresolved(Unresolved)  --EVENT_SENDMSG-->  NetFlowObject  |  None
    329281x  Unresolved(Unresolved)  --EVENT_SENDMSG-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  None
       211x  Subject(SUBJECT_UNIT)  --EVENT_SENDMSG-->  Unresolved(Unresolved)  |  None
         3x  Unresolved(Unresolved)  --EVENT_SENDMSG-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
    103813x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  None
      4465x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_FILE)  |  None
     27430x  Subject(SUBJECT_UNIT)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  None
     31591x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  UnnamedPipeObject  |  None
     35067x  Subject(SUBJECT_UNIT)  --EVENT_WRITE-->  UnnamedPipeObject  |  None
     30381x  Subject(SUBJECT_UNIT)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_FILE)  |  None
      5318x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  NetFlowObject  |  None
         1x  Subject(SUBJECT_UNIT)  --EVENT_WRITE-->  NetFlowObject  |  None
   2072732x  Unresolved(Unresolved)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  None
    322147x  Subject(SUBJECT_UNIT)  --EVENT_WRITE-->  Unresolved(Unresolved)  |  None
      9458x  Unresolved(Unresolved)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_FILE)  |  None
     22274x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  Unresolved(Unresolved)  |  None
       614x  Unresolved(Unresolved)  --EVENT_WRITE-->  UnnamedPipeObject  |  None
