================================================================================
  cadets
================================================================================
     21926x  Subject(SUBJECT_PROCESS)  --EVENT_EXECUTE-->  FileObject(FILE_OBJECT_FILE)  |  FileObject(FILE_OBJECT_FILE)
       208x  Subject(SUBJECT_PROCESS)  --EVENT_CREATE_THREAD-->  Subject(SUBJECT_THREAD)  |  None
     11591x  Unresolved(Unresolved)  --EVENT_CREATE_THREAD-->  Subject(SUBJECT_THREAD)  |  None
       188x  Subject(SUBJECT_PROCESS)  --EVENT_EXECUTE-->  Subject(SUBJECT_PROCESS)  |  None
       229x  Subject(SUBJECT_THREAD)  --EVENT_EXECUTE-->  Subject(SUBJECT_PROCESS)  |  None
        36x  FileObject(FILE_OBJECT_PEFILE)  --EVENT_EXECUTE-->  Subject(SUBJECT_PROCESS)  |  None
       226x  Unresolved(Unresolved)  --EVENT_EXECUTE-->  Subject(SUBJECT_PROCESS)  |  None
     16736x  Subject(SUBJECT_PROCESS)  --EVENT_LOADLIBRARY-->  FileObject(FILE_OBJECT_PEFILE)  |  None
      2521x  Subject(SUBJECT_THREAD)  --EVENT_LOADLIBRARY-->  FileObject(FILE_OBJECT_BLOCK)  |  None
     26371x  Subject(SUBJECT_THREAD)  --EVENT_LOADLIBRARY-->  FileObject(FILE_OBJECT_PEFILE)  |  None
        37x  Subject(SUBJECT_PROCESS)  --EVENT_LOADLIBRARY-->  FileObject(FILE_OBJECT_BLOCK)  |  None
        46x  FileObject(FILE_OBJECT_PEFILE)  --EVENT_LOADLIBRARY-->  FileObject(FILE_OBJECT_PEFILE)  |  None
        23x  FileObject(FILE_OBJECT_PEFILE)  --EVENT_LOADLIBRARY-->  FileObject(FILE_OBJECT_BLOCK)  |  None
         2x  FileObject(FILE_OBJECT_BLOCK)  --EVENT_LOADLIBRARY-->  FileObject(FILE_OBJECT_BLOCK)  |  None
         2x  FileObject(FILE_OBJECT_BLOCK)  --EVENT_LOADLIBRARY-->  FileObject(FILE_OBJECT_PEFILE)  |  None
      2828x  Unresolved(Unresolved)  --EVENT_LOADLIBRARY-->  FileObject(FILE_OBJECT_PEFILE)  |  None
       303x  Unresolved(Unresolved)  --EVENT_LOADLIBRARY-->  FileObject(FILE_OBJECT_BLOCK)  |  None
      2241x  Subject(SUBJECT_THREAD)  --EVENT_LOADLIBRARY-->  Unresolved(Unresolved)  |  None
         6x  FileObject(FILE_OBJECT_PEFILE)  --EVENT_LOADLIBRARY-->  Unresolved(Unresolved)  |  None
     11507x  Subject(SUBJECT_THREAD)  --EVENT_READ-->  FileObject(FILE_OBJECT_BLOCK)  |  None
        10x  Subject(SUBJECT_THREAD)  --EVENT_READ-->  FileObject(FILE_OBJECT_PEFILE)  |  None
        40x  FileObject(FILE_OBJECT_PEFILE)  --EVENT_READ-->  FileObject(FILE_OBJECT_BLOCK)  |  None
         5x  Subject(SUBJECT_THREAD)  --EVENT_READ-->  Host(HOST_DESKTOP)  |  None
     16926x  Unresolved(Unresolved)  --EVENT_READ-->  FileObject(FILE_OBJECT_BLOCK)  |  None
        20x  Subject(SUBJECT_THREAD)  --EVENT_READ-->  Unresolved(Unresolved)  |  None
        10x  Unresolved(Unresolved)  --EVENT_READ-->  Host(HOST_DESKTOP)  |  None
     10475x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  NetFlowObject  |  None
         1x  FileObject(FILE_OBJECT_PEFILE)  --EVENT_RECVMSG-->  Host(HOST_DESKTOP)  |  None
      1550x  Subject(SUBJECT_THREAD)  --EVENT_RECVMSG-->  NetFlowObject  |  None
      2062x  FileObject(FILE_OBJECT_PEFILE)  --EVENT_RECVMSG-->  NetFlowObject  |  None
         1x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  Host(HOST_DESKTOP)  |  None
        48x  FileObject(FILE_OBJECT_BLOCK)  --EVENT_RECVMSG-->  NetFlowObject  |  None
         1x  Subject(SUBJECT_THREAD)  --EVENT_RECVMSG-->  Host(HOST_DESKTOP)  |  None
       129x  Subject(SUBJECT_THREAD)  --EVENT_RECVMSG-->  Unresolved(Unresolved)  |  None
     12024x  Unresolved(Unresolved)  --EVENT_RECVMSG-->  NetFlowObject  |  None
         3x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  Unresolved(Unresolved)  |  None
       263x  FileObject(FILE_OBJECT_PEFILE)  --EVENT_RECVMSG-->  Unresolved(Unresolved)  |  None
         2x  Unresolved(Unresolved)  --EVENT_RECVMSG-->  Host(HOST_DESKTOP)  |  None
      7241x  Subject(SUBJECT_PROCESS)  --EVENT_SENDMSG-->  NetFlowObject  |  None
     68386x  FileObject(FILE_OBJECT_PEFILE)  --EVENT_SENDMSG-->  NetFlowObject  |  None
       392x  Subject(SUBJECT_THREAD)  --EVENT_SENDMSG-->  NetFlowObject  |  None
      9410x  FileObject(FILE_OBJECT_BLOCK)  --EVENT_SENDMSG-->  NetFlowObject  |  None
        10x  Subject(SUBJECT_PROCESS)  --EVENT_SENDMSG-->  Unresolved(Unresolved)  |  None
    299764x  Unresolved(Unresolved)  --EVENT_SENDMSG-->  NetFlowObject  |  None
     23166x  FileObject(FILE_OBJECT_PEFILE)  --EVENT_SENDMSG-->  Unresolved(Unresolved)  |  None
      3083x  Subject(SUBJECT_THREAD)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_BLOCK)  |  None
       100x  FileObject(FILE_OBJECT_PEFILE)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_BLOCK)  |  None
      3815x  Unresolved(Unresolved)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_BLOCK)  |  None
        59x  Subject(SUBJECT_THREAD)  --EVENT_WRITE-->  Unresolved(Unresolved)  |  None
         1x  FileObject(FILE_OBJECT_PEFILE)  --EVENT_WRITE-->  Unresolved(Unresolved)  |  None
         1x  Unresolved(Unresolved)  --EVENT_WRITE-->  Host(HOST_DESKTOP)  |  None

================================================================================
  theia
================================================================================
     12452x  Subject(SUBJECT_PROCESS)  --EVENT_CLONE-->  Subject(SUBJECT_PROCESS)  |  Subject(SUBJECT_PROCESS)
       603x  Unresolved(Unresolved)  --EVENT_CLONE-->  Subject(SUBJECT_PROCESS)  |  Subject(SUBJECT_PROCESS)
      9710x  Subject(SUBJECT_PROCESS)  --EVENT_EXECUTE-->  FileObject(FILE_OBJECT_BLOCK)  |  Subject(SUBJECT_PROCESS)
       138x  Subject(SUBJECT_PROCESS)  --EVENT_EXECUTE-->  Unresolved(Unresolved)  |  Subject(SUBJECT_PROCESS)
         1x  Unresolved(Unresolved)  --EVENT_EXECUTE-->  Unresolved(Unresolved)  |  Subject(SUBJECT_PROCESS)
     64857x  Subject(SUBJECT_PROCESS)  --EVENT_MMAP-->  MemoryObject  |  Subject(SUBJECT_PROCESS)
     56378x  Subject(SUBJECT_PROCESS)  --EVENT_MMAP-->  MemoryObject  |  FileObject(FILE_OBJECT_BLOCK)
      4720x  Unresolved(Unresolved)  --EVENT_MMAP-->  Unresolved(Unresolved)  |  Subject(SUBJECT_PROCESS)
      1157x  Unresolved(Unresolved)  --EVENT_MMAP-->  MemoryObject  |  Subject(SUBJECT_PROCESS)
     24086x  Subject(SUBJECT_PROCESS)  --EVENT_MMAP-->  MemoryObject  |  Unresolved(Unresolved)
      1296x  Unresolved(Unresolved)  --EVENT_MMAP-->  Unresolved(Unresolved)  |  FileObject(FILE_OBJECT_BLOCK)
         9x  Subject(SUBJECT_PROCESS)  --EVENT_MMAP-->  Unresolved(Unresolved)  |  FileObject(FILE_OBJECT_BLOCK)
        12x  Subject(SUBJECT_PROCESS)  --EVENT_MMAP-->  Unresolved(Unresolved)  |  Subject(SUBJECT_PROCESS)
       396x  Unresolved(Unresolved)  --EVENT_MMAP-->  MemoryObject  |  FileObject(FILE_OBJECT_BLOCK)
       477x  Unresolved(Unresolved)  --EVENT_MMAP-->  MemoryObject  |  Unresolved(Unresolved)
      2720x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  IpcObject(IPC_OBJECT_SOCKET_ABSTRACT)  |  Subject(SUBJECT_PROCESS)
    539136x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  IpcObject(IPC_OBJECT_SOCKET_PATHNAME)  |  Subject(SUBJECT_PROCESS)
     11652x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  NetFlowObject  |  Subject(SUBJECT_PROCESS)
    660848x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  FileObject(FILE_OBJECT_BLOCK)  |  Subject(SUBJECT_PROCESS)
         5x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  IpcObject(IPC_OBJECT_SOCKET_NETLINK)  |  Subject(SUBJECT_PROCESS)
     26098x  Unresolved(Unresolved)  --EVENT_READ-->  FileObject(FILE_OBJECT_BLOCK)  |  Subject(SUBJECT_PROCESS)
    269285x  Unresolved(Unresolved)  --EVENT_READ-->  Unresolved(Unresolved)  |  Subject(SUBJECT_PROCESS)
     69125x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  Unresolved(Unresolved)  |  Subject(SUBJECT_PROCESS)
   4126538x  Unresolved(Unresolved)  --EVENT_READ-->  IpcObject(IPC_OBJECT_SOCKET_PATHNAME)  |  Subject(SUBJECT_PROCESS)
     11207x  Unresolved(Unresolved)  --EVENT_READ-->  IpcObject(IPC_OBJECT_SOCKET_ABSTRACT)  |  Subject(SUBJECT_PROCESS)
       206x  Subject(SUBJECT_PROCESS)  --EVENT_RECVFROM-->  NetFlowObject  |  Subject(SUBJECT_PROCESS)
     14824x  Subject(SUBJECT_PROCESS)  --EVENT_RECVFROM-->  IpcObject(IPC_OBJECT_SOCKET_PATHNAME)  |  Subject(SUBJECT_PROCESS)
       204x  Subject(SUBJECT_PROCESS)  --EVENT_RECVFROM-->  IpcObject(IPC_OBJECT_SOCKET_ABSTRACT)  |  Subject(SUBJECT_PROCESS)
    354655x  Unresolved(Unresolved)  --EVENT_RECVFROM-->  IpcObject(IPC_OBJECT_SOCKET_PATHNAME)  |  Subject(SUBJECT_PROCESS)
       117x  Unresolved(Unresolved)  --EVENT_RECVFROM-->  Unresolved(Unresolved)  |  Subject(SUBJECT_PROCESS)
      1188x  Unresolved(Unresolved)  --EVENT_RECVFROM-->  NetFlowObject  |  Subject(SUBJECT_PROCESS)
       100x  Unresolved(Unresolved)  --EVENT_RECVFROM-->  IpcObject(IPC_OBJECT_SOCKET_ABSTRACT)  |  Subject(SUBJECT_PROCESS)
        61x  Subject(SUBJECT_PROCESS)  --EVENT_RECVFROM-->  Unresolved(Unresolved)  |  Subject(SUBJECT_PROCESS)
      1622x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  NetFlowObject  |  Subject(SUBJECT_PROCESS)
        58x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  IpcObject(IPC_OBJECT_SOCKET_NETLINK)  |  Subject(SUBJECT_PROCESS)
      8450x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  IpcObject(IPC_OBJECT_SOCKET_PATHNAME)  |  Subject(SUBJECT_PROCESS)
      5743x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  IpcObject(IPC_OBJECT_SOCKET_ABSTRACT)  |  Subject(SUBJECT_PROCESS)
       259x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  Unresolved(Unresolved)  |  Subject(SUBJECT_PROCESS)
     13141x  Unresolved(Unresolved)  --EVENT_RECVMSG-->  NetFlowObject  |  Subject(SUBJECT_PROCESS)
      5727x  Unresolved(Unresolved)  --EVENT_RECVMSG-->  IpcObject(IPC_OBJECT_SOCKET_PATHNAME)  |  Subject(SUBJECT_PROCESS)
     12652x  Unresolved(Unresolved)  --EVENT_RECVMSG-->  Unresolved(Unresolved)  |  Subject(SUBJECT_PROCESS)
         2x  Unresolved(Unresolved)  --EVENT_RECVMSG-->  IpcObject(IPC_OBJECT_SOCKET_ABSTRACT)  |  Subject(SUBJECT_PROCESS)
       194x  Unresolved(Unresolved)  --EVENT_RECVMSG-->  IpcObject(IPC_OBJECT_SOCKET_NETLINK)  |  Subject(SUBJECT_PROCESS)
        14x  Subject(SUBJECT_PROCESS)  --EVENT_SENDMSG-->  NetFlowObject  |  Subject(SUBJECT_PROCESS)
      7302x  Subject(SUBJECT_PROCESS)  --EVENT_SENDMSG-->  IpcObject(IPC_OBJECT_SOCKET_PATHNAME)  |  Subject(SUBJECT_PROCESS)
      5600x  Subject(SUBJECT_PROCESS)  --EVENT_SENDMSG-->  IpcObject(IPC_OBJECT_SOCKET_ABSTRACT)  |  Subject(SUBJECT_PROCESS)
     13802x  Unresolved(Unresolved)  --EVENT_SENDMSG-->  Unresolved(Unresolved)  |  Subject(SUBJECT_PROCESS)
       111x  Subject(SUBJECT_PROCESS)  --EVENT_SENDMSG-->  Unresolved(Unresolved)  |  Subject(SUBJECT_PROCESS)
       163x  Unresolved(Unresolved)  --EVENT_SENDMSG-->  NetFlowObject  |  Subject(SUBJECT_PROCESS)
      4577x  Unresolved(Unresolved)  --EVENT_SENDMSG-->  IpcObject(IPC_OBJECT_SOCKET_PATHNAME)  |  Subject(SUBJECT_PROCESS)
      1011x  Subject(SUBJECT_PROCESS)  --EVENT_SENDTO-->  IpcObject(IPC_OBJECT_SOCKET_PATHNAME)  |  Subject(SUBJECT_PROCESS)
       259x  Subject(SUBJECT_PROCESS)  --EVENT_SENDTO-->  NetFlowObject  |  Subject(SUBJECT_PROCESS)
         6x  Subject(SUBJECT_PROCESS)  --EVENT_SENDTO-->  IpcObject(IPC_OBJECT_SOCKET_NETLINK)  |  Subject(SUBJECT_PROCESS)
      1351x  Subject(SUBJECT_PROCESS)  --EVENT_SENDTO-->  IpcObject(IPC_OBJECT_SOCKET_ABSTRACT)  |  Subject(SUBJECT_PROCESS)
       204x  Subject(SUBJECT_PROCESS)  --EVENT_SENDTO-->  Unresolved(Unresolved)  |  Subject(SUBJECT_PROCESS)
       232x  Unresolved(Unresolved)  --EVENT_SENDTO-->  IpcObject(IPC_OBJECT_SOCKET_PATHNAME)  |  Subject(SUBJECT_PROCESS)
       907x  Unresolved(Unresolved)  --EVENT_SENDTO-->  NetFlowObject  |  Subject(SUBJECT_PROCESS)
       756x  Unresolved(Unresolved)  --EVENT_SENDTO-->  Unresolved(Unresolved)  |  Subject(SUBJECT_PROCESS)
        21x  Unresolved(Unresolved)  --EVENT_SENDTO-->  IpcObject(IPC_OBJECT_SOCKET_NETLINK)  |  Subject(SUBJECT_PROCESS)
     18193x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  NetFlowObject  |  Subject(SUBJECT_PROCESS)
   3807016x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_BLOCK)  |  Subject(SUBJECT_PROCESS)
       250x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  IpcObject(IPC_OBJECT_SOCKET_ABSTRACT)  |  Subject(SUBJECT_PROCESS)
  22048017x  Unresolved(Unresolved)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_BLOCK)  |  Subject(SUBJECT_PROCESS)
    160456x  Unresolved(Unresolved)  --EVENT_WRITE-->  Unresolved(Unresolved)  |  Subject(SUBJECT_PROCESS)
     75283x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  Unresolved(Unresolved)  |  Subject(SUBJECT_PROCESS)

================================================================================
  trace
================================================================================
     17013x  Subject(SUBJECT_PROCESS)  --EVENT_CLONE-->  Subject(SUBJECT_PROCESS)  |  None
       293x  Subject(SUBJECT_UNIT)  --EVENT_CLONE-->  Subject(SUBJECT_PROCESS)  |  None
       143x  Unresolved(Unresolved)  --EVENT_CLONE-->  Subject(SUBJECT_PROCESS)  |  None
     84337x  Subject(SUBJECT_PROCESS)  --EVENT_EXECUTE-->  Subject(SUBJECT_PROCESS)  |  None
        53x  Unresolved(Unresolved)  --EVENT_EXECUTE-->  Subject(SUBJECT_PROCESS)  |  None
     81585x  Subject(SUBJECT_PROCESS)  --EVENT_FORK-->  Subject(SUBJECT_PROCESS)  |  None
         3x  Subject(SUBJECT_UNIT)  --EVENT_FORK-->  Subject(SUBJECT_PROCESS)  |  None
     19099x  Unresolved(Unresolved)  --EVENT_FORK-->  Subject(SUBJECT_PROCESS)  |  None
     60559x  Subject(SUBJECT_PROCESS)  --EVENT_LOADLIBRARY-->  FileObject(FILE_OBJECT_FILE)  |  None
    118437x  Subject(SUBJECT_PROCESS)  --EVENT_LOADLIBRARY-->  Unresolved(Unresolved)  |  None
    579835x  Subject(SUBJECT_PROCESS)  --EVENT_MMAP-->  FileObject(FILE_OBJECT_FILE)  |  MemoryObject
   2027401x  Subject(SUBJECT_PROCESS)  --EVENT_MMAP-->  MemoryObject  |  None
      4833x  Subject(SUBJECT_UNIT)  --EVENT_MMAP-->  MemoryObject  |  None
       355x  Subject(SUBJECT_UNIT)  --EVENT_MMAP-->  FileObject(FILE_OBJECT_FILE)  |  MemoryObject
      1564x  Subject(SUBJECT_PROCESS)  --EVENT_MMAP-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  MemoryObject
         5x  Subject(SUBJECT_PROCESS)  --EVENT_MMAP-->  IpcObject(IPC_OBJECT_PIPE_UNNAMED)  |  MemoryObject
      3001x  Subject(SUBJECT_UNIT)  --EVENT_MMAP-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  MemoryObject
         4x  Subject(SUBJECT_PROCESS)  --EVENT_MMAP-->  NetFlowObject  |  MemoryObject
         3x  Subject(SUBJECT_PROCESS)  --EVENT_MMAP-->  FileObject(FILE_OBJECT_CHAR)  |  MemoryObject
     33259x  Unresolved(Unresolved)  --EVENT_MMAP-->  FileObject(FILE_OBJECT_FILE)  |  Unresolved(Unresolved)
   2098531x  Subject(SUBJECT_PROCESS)  --EVENT_MMAP-->  Unresolved(Unresolved)  |  MemoryObject
      3397x  Unresolved(Unresolved)  --EVENT_MMAP-->  Unresolved(Unresolved)  |  MemoryObject
     17953x  Unresolved(Unresolved)  --EVENT_MMAP-->  MemoryObject  |  None
      2164x  Subject(SUBJECT_UNIT)  --EVENT_MMAP-->  Unresolved(Unresolved)  |  MemoryObject
      4819x  Unresolved(Unresolved)  --EVENT_MMAP-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  Unresolved(Unresolved)
     13029x  Subject(SUBJECT_UNIT)  --EVENT_MMAP-->  Unresolved(Unresolved)  |  Unresolved(Unresolved)
       222x  Subject(SUBJECT_PROCESS)  --EVENT_MMAP-->  Unresolved(Unresolved)  |  None
      9870x  Subject(SUBJECT_UNIT)  --EVENT_MMAP-->  Unresolved(Unresolved)  |  None
      1141x  Subject(SUBJECT_UNIT)  --EVENT_MMAP-->  FileObject(FILE_OBJECT_FILE)  |  Unresolved(Unresolved)
      1966x  Unresolved(Unresolved)  --EVENT_MMAP-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  MemoryObject
       806x  Unresolved(Unresolved)  --EVENT_MMAP-->  FileObject(FILE_OBJECT_FILE)  |  MemoryObject
      1556x  Subject(SUBJECT_UNIT)  --EVENT_MMAP-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  Unresolved(Unresolved)
         2x  Subject(SUBJECT_PROCESS)  --EVENT_MMAP-->  Unresolved(Unresolved)  |  Unresolved(Unresolved)
         1x  Subject(SUBJECT_PROCESS)  --EVENT_MMAP-->  FileObject(FILE_OBJECT_FILE)  |  Unresolved(Unresolved)
    398992x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  None
   2344604x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  FileObject(FILE_OBJECT_FILE)  |  None
    480796x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  IpcObject(IPC_OBJECT_PIPE_UNNAMED)  |  None
        30x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  FileObject(FILE_OBJECT_DIR)  |  None
     16528x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  IpcObject(IPC_OBJECT_SOCKET_PAIR)  |  None
    359622x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  NetFlowObject  |  None
       657x  Subject(SUBJECT_UNIT)  --EVENT_READ-->  NetFlowObject  |  None
        69x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  FileObject(FILE_OBJECT_CHAR)  |  None
      1462x  Subject(SUBJECT_UNIT)  --EVENT_READ-->  FileObject(FILE_OBJECT_FILE)  |  None
      4469x  Subject(SUBJECT_UNIT)  --EVENT_READ-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  None
         1x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
     13394x  Subject(SUBJECT_UNIT)  --EVENT_READ-->  IpcObject(IPC_OBJECT_PIPE_UNNAMED)  |  None
   3677219x  Subject(SUBJECT_PROCESS)  --EVENT_READ-->  Unresolved(Unresolved)  |  None
     69969x  Unresolved(Unresolved)  --EVENT_READ-->  FileObject(FILE_OBJECT_FILE)  |  None
      9080x  Unresolved(Unresolved)  --EVENT_READ-->  IpcObject(IPC_OBJECT_PIPE_UNNAMED)  |  None
    405394x  Subject(SUBJECT_UNIT)  --EVENT_READ-->  Unresolved(Unresolved)  |  None
      6481x  Unresolved(Unresolved)  --EVENT_READ-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  None
       121x  Unresolved(Unresolved)  --EVENT_READ-->  IpcObject(IPC_OBJECT_SOCKET_PAIR)  |  None
       720x  Unresolved(Unresolved)  --EVENT_READ-->  NetFlowObject  |  None
        32x  Unresolved(Unresolved)  --EVENT_READ-->  FileObject(FILE_OBJECT_DIR)  |  None
    341785x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  None
   1267799x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
    122449x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  NetFlowObject  |  None
     90981x  Subject(SUBJECT_UNIT)  --EVENT_RECVMSG-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  None
     34919x  Subject(SUBJECT_UNIT)  --EVENT_RECVMSG-->  NetFlowObject  |  None
   3406188x  Unresolved(Unresolved)  --EVENT_RECVMSG-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  None
       196x  Subject(SUBJECT_PROCESS)  --EVENT_RECVMSG-->  Unresolved(Unresolved)  |  None
     15175x  Unresolved(Unresolved)  --EVENT_RECVMSG-->  NetFlowObject  |  None
        12x  Unresolved(Unresolved)  --EVENT_RECVMSG-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
        46x  Subject(SUBJECT_UNIT)  --EVENT_RECVMSG-->  Unresolved(Unresolved)  |  None
     88025x  Subject(SUBJECT_PROCESS)  --EVENT_SENDMSG-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  None
    201099x  Subject(SUBJECT_PROCESS)  --EVENT_SENDMSG-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
       855x  Subject(SUBJECT_PROCESS)  --EVENT_SENDMSG-->  NetFlowObject  |  None
     52839x  Subject(SUBJECT_UNIT)  --EVENT_SENDMSG-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  None
      6507x  Subject(SUBJECT_UNIT)  --EVENT_SENDMSG-->  NetFlowObject  |  None
    618745x  Unresolved(Unresolved)  --EVENT_SENDMSG-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  None
       366x  Subject(SUBJECT_PROCESS)  --EVENT_SENDMSG-->  Unresolved(Unresolved)  |  None
       397x  Unresolved(Unresolved)  --EVENT_SENDMSG-->  NetFlowObject  |  None
         6x  Unresolved(Unresolved)  --EVENT_SENDMSG-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
         3x  Subject(SUBJECT_UNIT)  --EVENT_SENDMSG-->  Unresolved(Unresolved)  |  None
    583815x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  None
         2x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_UNIX_SOCKET)  |  None
    215836x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  IpcObject(IPC_OBJECT_PIPE_UNNAMED)  |  None
     13451x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  IpcObject(IPC_OBJECT_SOCKET_PAIR)  |  None
     76479x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_CHAR)  |  None
     61759x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_FILE)  |  None
     24303x  Subject(SUBJECT_UNIT)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  None
      1575x  Subject(SUBJECT_UNIT)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_FILE)  |  None
    383780x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  NetFlowObject  |  None
       214x  Subject(SUBJECT_UNIT)  --EVENT_WRITE-->  NetFlowObject  |  None
        20x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_DIR)  |  None
     18554x  Subject(SUBJECT_UNIT)  --EVENT_WRITE-->  IpcObject(IPC_OBJECT_PIPE_UNNAMED)  |  None
        20x  Subject(SUBJECT_UNIT)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_CHAR)  |  None
   8168332x  Unresolved(Unresolved)  --EVENT_WRITE-->  SrcSinkObject(SRCSINK_UNKNOWN)  |  None
    645007x  Subject(SUBJECT_PROCESS)  --EVENT_WRITE-->  Unresolved(Unresolved)  |  None
    421525x  Subject(SUBJECT_UNIT)  --EVENT_WRITE-->  Unresolved(Unresolved)  |  None
      1273x  Unresolved(Unresolved)  --EVENT_WRITE-->  IpcObject(IPC_OBJECT_SOCKET_PAIR)  |  None
      1615x  Unresolved(Unresolved)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_CHAR)  |  None
     18585x  Unresolved(Unresolved)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_FILE)  |  None
       152x  Unresolved(Unresolved)  --EVENT_WRITE-->  NetFlowObject  |  None
        39x  Unresolved(Unresolved)  --EVENT_WRITE-->  IpcObject(IPC_OBJECT_PIPE_UNNAMED)  |  None
        20x  Unresolved(Unresolved)  --EVENT_WRITE-->  FileObject(FILE_OBJECT_DIR)  |  None
